momentID,activity,moment,counterparty,price,dateGMT
8664427,Bought,Dwight Howard · PHI · Dunk · 3/14/2021 · Base Set · Series 2 · #20699,0x9f16eed66a4fe6df (Brewcrew321),2,2022-04-12T20:35:29.000Z
13881386,Bought,Domantas Sabonis · IND · 3 Pointer · 2/26/2021 · Base Set · Series 2 · #34942,0x91ee1d17ff0dbba5 (Kingbeanbobo),2,2022-04-12T20:47:46.000Z
4172177,Bought,Eric Gordon · HOU · Layup · 1/10/2021 · Base Set · Series 2 · #22617,0x223c62c5119a60f8 (zekealeke),2,2022-04-12T20:48:23.000Z
13828424,Bought,Kevin Porter Jr. · HOU · 3 Pointer · 4/29/2021 · Base Set · Series 2 · #33980,0x0327d6fd986e9dab (Msorosky),2,2022-04-12T20:57:30.000Z
15821954,Bought,Reggie Jackson · LAC · Jump Shot · 4/14/2021 · Base Set · Series 2 · #29762,0x0a7d9c113053bec3 (Cacandballs),2,2022-04-12T21:02:54.000Z
16192229,Bought,Norman Powell · POR · Dunk · 5/10/2021 · Base Set · Series 2 · #37537,0x0a7d9c113053bec3 (Cacandballs),2,2022-04-12T21:06:15.000Z
6533464,Bought,Jerami Grant · DET · Dunk · 1/1/2021 · Base Set · Series 2 · #27130,0x6ad5c389810409bf (MJSouthOC),2,2022-04-12T21:33:01.000Z
28114535,Bought,Kevin Durant · BKN · Jump Shot · 10/24/2021 · Base Set · Series 3 · #23045,0x84d785559dab38f8 (Leet_Noob),4,2022-04-12T21:50:04.000Z
34335802,Sold,Payton Pritchard · BOS · Handles · 2/26/2022 · Base Set · Series 3 · #10503,0xc602296b1e82d73b (jtmusick31),2,2022-04-12T21:50:10.000Z
10674739,Bought,Kyrie Irving · BKN · Jump Shot · 1/20/2021 · Base Set · Series 2 · #3199,0xd85aee0dc49013a7 (giantant),4,2022-04-12T21:51:24.000Z
13583410,Bought,Darius Garland · CLE · Assist · 4/19/2021 · Base Set · Series 2 · #24966,0x6ad5c389810409bf (MJSouthOC),3,2022-04-12T21:53:15.000Z
3222733,Bought,Paul George · LAC · Dunk · 1/17/2021 · Base Set · Series 2 · #9387,0xa7bd43580197c1d3 (Genesist32),4,2022-04-12T21:55:51.000Z
34474435,Listed,Monte Morris · DEN · 3 Pointer · 2/26/2022 · Base Set · Series 3 · #3388,,5,2022-04-12T21:57:43.000Z
11276907,Bought,Svi Mykhailiuk · OKC · Dunk · 4/21/2021 · Base Set · Series 2 · #16367,0x8963059a2e3be3d7 (Zooballs),2,2022-04-12T22:01:55.000Z
12994183,Bought,Myles Turner · IND · Block · 1/22/2021 · Base Set · Series 2 · #39670,0x5f36a37815dfe66f (Fryman),2,2022-04-12T22:51:02.000Z
9273674,Bought,Christian Wood · HOU · Dunk · 3/21/2021 · Base Set · Series 2 · #20943,0x161796253851e555 (dnamu),2,2022-04-12T23:16:12.000Z
15906954,Bought,Mo Bamba · ORL · Dunk · 1/11/2021 · Base Set · Series 2 · #18137,0xd7f14cd518483370 (ambitious_sand_lizard2522),2,2022-04-13T00:04:51.000Z
14071949,Bought,Jaren Jackson Jr. · MEM · Dunk · 4/21/2021 · Base Set · Series 2 · #25505,0x4a20b6f513e80149 (ShooterFlatch),2,2022-04-13T00:19:06.000Z
12134244,Bought,Steven Adams · NOP · Assist · 1/6/2021 · Base Set · Series 2 · #23296,0xde3d0b2c73e73dc9 (Dominican328),2,2022-04-13T00:33:00.000Z
5502641,Bought,Mason Plumlee · DET · Dunk · 1/18/2021 · Base Set · Series 2 · #32278,0xee968a2420b414bc (SignatureAthletes),2,2022-04-13T00:33:49.000Z
12526311,Bought,Kevin Durant · BKN · Dunk · 1/31/2021 · Base Set · Series 2 · #36798,0xe7721e186c486159 (remarkable_asian_greens1370),7,2022-04-13T00:38:36.000Z
28114535,Listed,Kevin Durant · BKN · Jump Shot · 10/24/2021 · Base Set · Series 3 · #23045,,5,2022-04-13T00:39:05.000Z
5647852,Bought,John Collins · ATL · Dunk · 1/18/2021 · Base Set · Series 2 · #32489,0xd2d2dc4ccae3cd91 (Ionkno2787),2,2022-04-13T00:43:07.000Z
16021108,Bought,Wendell Carter Jr. · ORL · Dunk · 4/4/2021 · Base Set · Series 2 · #32541,0x60f4aaeedeec4091 (AstonVilla1982),2,2022-04-13T00:50:27.000Z
6013623,Bought,Rui Hachimura · WAS · Layup · 1/11/2021 · Base Set · Series 2 · #28260,0x60f4aaeedeec4091 (AstonVilla1982),2,2022-04-13T00:52:30.000Z
13170416,Bought,Joe Ingles · UTA · 3 Pointer · 1/23/2021 · Base Set · Series 2 · #35876,0x7edba6d1dc15de9a (AShizzle_Foshooo),2,2022-04-13T00:53:41.000Z
14419920,Bought,Aleksej Pokusevski · OKC · Assist · 4/19/2021 · Base Set · Series 2 · #29476,0x125b7560da8edb6d (cloudnimbis),2,2022-04-13T01:30:44.000Z
12870588,Bought,RJ Barrett · NYK · Dunk · 3/11/2021 · Base Set · Series 2 · #36075,0x15985cce0bd79304 (Flap_Pelican_Flap),2,2022-04-13T01:31:24.000Z
28114535,Sold,Kevin Durant · BKN · Jump Shot · 10/24/2021 · Base Set · Series 3 · #23045,0x9777cace28885edb (Duckketz),5,2022-04-13T01:35:58.000Z
6682709,Bought,Justin Holiday · IND · Steal · 1/24/2021 · Base Set · Series 2 · #24375,0x26380029a1813769 (Ankle_breaker24),2,2022-04-13T01:39:22.000Z
13198070,Bought,Andre Iguodala · MIA · Dunk · 1/20/2021 · Base Set · Series 2 · #38530,0xf6d49e1a74192311 (LongShot76),2,2022-04-13T01:40:44.000Z
34175627,Sold,Royce O'Neale · UTA · Steal · 2/11/2022 · Base Set · Series 3 · #31301,0x0f4cb4007b5f187e (SavageSportPodcast),2,2022-04-13T02:27:32.000Z
33561749,Bought,Anthony Edwards · MIN · 3 Pointer · 12/15/2021 · Base Set · Series 3 · #7420,0x9bdbd5c280f3c912 (paradiseloren),3,2022-04-13T02:55:10.000Z
2721721,Bought,D'Angelo Russell · MIN · Layup · 1/13/2021 · The Gift · Series 2 · #8629,0xfc0a56d94197298d (hellarz1),45,2022-04-13T03:28:23.000Z
10312250,Bought,Brandon Ingram · NOP · Dunk · 2/6/2021 · Base Set · Series 2 · #24350,0x28ab4b2624af7e7d (Dan_Weems),2,2022-04-13T03:29:45.000Z
15724765,Bought,Josh Richardson · DAL · Layup · 1/7/2021 · Base Set · Series 2 · #25073,0x28ab4b2624af7e7d (Dan_Weems),2,2022-04-13T03:59:04.000Z
14651387,Bought,Russell Westbrook · WAS · Dunk · 3/25/2021 · Base Set · Series 2 · #36943,0x8a398e291a6401cd (King_JKR),2,2022-04-13T04:00:32.000Z
11899723,Bought,Kristaps Porziņģis · DAL · Dunk · 4/8/2021 · Base Set · Series 2 · #22775,0x9f623b4f21344886 (jarrensj),2,2022-04-13T04:01:07.000Z
20214266,Listed,Karl-Anthony Towns · MIN · Dunk · 10/20/2021 · Base Set · Series 3 · #29587,,3,2022-04-13T04:39:58.000Z
11040860,Bought,Caris LeVert · IND · 3 Pointer · 3/24/2021 · Base Set · Series 2 · #27320,0x6ad5c389810409bf (MJSouthOC),2,2022-04-13T04:58:35.000Z
13344397,Bought,Dejounte Murray · SAS · Dunk · 3/31/2021 · Hustle and Show · Series 2 · #11857,0xb5318d08c81bd980 (SeaDog48),9,2022-04-13T05:01:56.000Z
15505195,Bought,CJ McCollum · POR · Jump Shot · 6/1/2021 · 2021 NBA Playoffs · Series 2 · #7450,0x4adc33eab7ba6f0d (Markus_Topshot),7,2022-04-13T05:02:57.000Z
6262929,Bought,LaMelo Ball · CHA · Layup · 12/26/2020 · Base Set · Series 2 · #25595,0x3b6da002461fc271 (TruckBoatTruckers),28,2022-04-13T05:04:10.000Z
13416278,Bought,Trae Young · ATL · 3 Pointer · 2/6/2021 · Base Set · Series 2 · #29834,0xf3d735e76facdd0e (sixoverpar),3,2022-04-13T05:05:25.000Z
28750148,Bought,Miles Bridges · CHA · Block · 1/2/2022 · Base Set · Series 3 · #11518,0xa0da5b5426fbaa67 (Dbyers13),2,2022-04-13T05:07:16.000Z
12513972,Bought,Bogdan Bogdanović · ATL · Layup · 1/2/2021 · Base Set · Series 2 · #39459,0xd90a4ec25e57e621 (allyoucaneat),3,2022-04-13T05:08:35.000Z
